la_name,year,filled_posts,employees,vacant_posts,vacancy_rate,fte_posts,la_code
Slough,2020,2500,2300,275.0,0.11030246163365598,1700.0,E06000039
Slough,2021,2400,2300,,,1700.0,E06000039
Slough,2022,2300,2100,,,,E06000039
Slough,2023,2400,2200,275.0,0.11040317876683343,1800.0,E06000039
Windsor & Maidenhead,2016,2600,2400,150.0,0.05908491082246299,1900.0,E06000040
Windsor & Maidenhead,2017,2700,2500,100.0,0.03539942835407715,2100.0,E06000040
Windsor & Maidenhead,2018,2800,2600,100.0,0.03319010682892849,2200.0,E06000040
Windsor & Maidenhead,2019,3200,2900,225.0,0.06869181149656256,2600.0,E06000040
Windsor & Maidenhead,2020,3500,3200,175.0,0.05182769567737912,2800.0,E06000040
Windsor & Maidenhead,2021,3600,3100,275.0,0.07989277577835777,2800.0,E06000040
Windsor & Maidenhead,2022,3400,3000,200.0,0.06242986384418861,2800.0,E06000040
Windsor & Maidenhead,2023,3500,3100,150.0,0.04796596209345122,2900.0,E06000040
Wokingham,2016,3500,3200,,,2700.0,E06000041
Wokingham,2017,3500,3300,175.0,0.05217528648222104,2700.0,E06000041
Wokingham,2018,3700,3400,200.0,0.05636289515688088,2800.0,E06000041
Wokingham,2019,3800,3300,350.0,0.09725826459248657,2800.0,E06000041
Wokingham,2020,4000,3400,275.0,0.07706335583199099,3000.0,E06000041
Wokingham,2021,4000,3500,400.0,0.10055775087229323,3000.0,E06000041
Wokingham,2022,4200,3600,325.0,0.0803205111220078,3200.0,E06000041
Wokingham,2023,4200,3900,375.0,0.08725506793309719,3200.0,E06000041
Milton Keynes,2016,5200,4700,,,3700.0,E06000042
Milton Keynes,2017,5200,4700,400.0,0.07595872857148579,3700.0,E06000042
Milton Keynes,2018,5900,5300,325.0,0.05865365417792232,4100.0,E06000042
Milton Keynes,2019,6000,5300,350.0,0.0627664905382568,4200.0,E06000042
Milton Keynes,2020,6300,5500,350.0,0.0600716967881685,4400.0,E06000042
Milton Keynes,2021,6200,5300,650.0,0.11051572673123483,4500.0,E06000042
